Num_Acc;catv;situ;adr;jour;mois;an;dep;lat;long;hrmn;atm;grav;sexe;an_nais;trajet;age
201900011336;1;1;BOULEVARD SAINT GERMAIN;18;12;2019;75;48.859996;2.321688;17:10;1;4;2;1964;0;55
201900011339;1;1;QUAI DES CELESTINS;18;12;2019;75;48.85236;2.360489;20:20;1;4;1;1991;5;28
201900011431;1;5;COURS DE VINCENNES;14;9;2019;75;48.847071;2.410751;20:30;1;4;2;2004;5;15
201900011433;1;1;BOULEVARD KELLERMANN;14;9;2019;75;48.820661;2.34945;16:40;1;4;1;1984;1;35
201900011433;1;1;BOULEVARD KELLERMANN;14;9;2019;75;48.820661;2.34945;16:40;1;1;1;1954;5;65
201900011971;1;6;BOULEVARD SAINT MICHEL;17;10;2019;75;48.8469218;2.3406054;18:00;8;4;2;2001;2;18
201900011971;1;6;BOULEVARD SAINT MICHEL;17;10;2019;75;48.8469218;2.3406054;18:00;8;4;1;1977;9;42
201900011972;1;1;BOULEVARD DE BELLEVILLE;17;10;2019;75;48.868932;2.3804671;22:50;1;1;1;1990;4;29
201900011972;1;1;BOULEVARD DE BELLEVILLE;17;10;2019;75;48.868932;2.3804671;22:50;1;4;1;1997;1;22
201900011973;1;1;BOULEVARD DAVOUT;17;10;2019;75;48.8479425;2.4113542;18:30;1;3;1;1990;0;29
201900011973;1;1;BOULEVARD DAVOUT;17;10;2019;75;48.8479425;2.4113542;18:30;1;1;1;1958;3;61
201900011983;1;5;QUAI D AUSTERLITZ;16;10;2019;75;48.8383317;2.3727992;23:10;2;4;1;1993;9;26
201900011987;1;1;AVENUE DE LA REPUBLIQUE;16;10;2019;75;48.8648771;2.3765928;10:05;2;4;1;1994;1;25
201900011987;1;1;AVENUE DE LA REPUBLIQUE;16;10;2019;75;48.8648771;2.3765928;10:05;2;1;1;1967;0;52
201900011990;1;5;RUE DE TURBIGO;17;10;2019;75;48.8641035;2.3501137;18:30;8;4;1;1997;1;22
201900011990;1;5;RUE DE TURBIGO;17;10;2019;75;48.8641035;2.3501137;18:30;8;4;2;1966;0;53
201900012879;1;6;RUE DE CRIMEE;21;11;2019;75;48.890996;2.376397;18:15;2;4;1;1961;5;58
201900012879;1;6;RUE DE CRIMEE;21;11;2019;75;48.890996;2.376397;18:15;2;1;2;1958;5;61
201900012883;1;5;ROUTE DES TRIBUNES;21;11;2019;75;48.854961;2.228796;14:30;1;1;1;1951;3;68
201900012883;1;5;ROUTE DES TRIBUNES;21;11;2019;75;48.854961;2.228796;14:30;1;4;1;1955;5;64
201900012883;1;5;ROUTE DES TRIBUNES;21;11;2019;75;48.854961;2.228796;14:30;1;1;1;1951;3;68
201900012883;1;5;ROUTE DES TRIBUNES;21;11;2019;75;48.854961;2.228796;14:30;1;4;1;1955;5;64
201900012889;1;1;RUE BRANCION;20;11;2019;75;48.829683;2.301758;16:15;1;4;2;1989;0;30
201900012889;1;1;RUE BRANCION;20;11;2019;75;48.829683;2.301758;16:15;1;1;1;1974;4;45
201900012890;1;1;RUE EMERIAU;19;11;2019;75;48.8487229;2.2852167;12:00;1;1;1;1952;5;67
201900012890;1;1;RUE EMERIAU;19;11;2019;75;48.8487229;2.2852167;12:00;1;4;2;1961;5;58
201900012894;1;1;BOULEVARD AUGUSTE BLANQUI;21;11;2019;75;48.831105;2.344241;10:23;1;4;1;1993;0;26
201900012894;1;1;BOULEVARD AUGUSTE BLANQUI;21;11;2019;75;48.831105;2.344241;10:23;1;1;1;1983;0;36
201900013333;1;1;RUE DES FOUGERES;13;9;2019;75;48.8712234;2.4106896;08:30;1;1;1;1997;0;22
201900013333;1;1;RUE DES FOUGERES;13;9;2019;75;48.8712234;2.4106896;08:30;1;4;2;1972;0;47
201900013334;1;1;AVENUE GAMBETTA;13;9;2019;75;48.8642975;2.3930598;08:20;8;4;1;1973;0;46
201900013334;1;1;AVENUE GAMBETTA;13;9;2019;75;48.8642975;2.3930598;08:20;8;1;1;1983;2;36
201900013341;1;5;BOULEVARD VICTOR;13;9;2019;75;48.835747;2.279887;16:00;1;4;2;1991;5;28
201900013342;1;5;BOULEVARD VICTOR;13;9;2019;75;48.835206;2.2816935;09:35;1;4;2;1955;1;64
201900013347;1;1;RUE DE LA CHAUSSEE D ANTIN;13;9;2019;75;48.875259;2.332291;20:00;1;4;2;1991;1;28
201900013347;1;1;RUE DE LA CHAUSSEE D ANTIN;13;9;2019;75;48.875259;2.332291;20:00;1;1;2;1994;1;25
201900013353;1;5;BOULEVARD DE SEBASTOPOL;12;9;2019;75;48.86096;2.349575;19:45;1;1;1;1981;5;38
201900013353;1;5;BOULEVARD DE SEBASTOPOL;12;9;2019;75;48.86096;2.349575;19:45;1;4;1;2001;2;18
201900013772;1;5;BOULEVARD DE LA CHAPELLE;16;10;2019;75;48.883671;2.350383;15:15;2;1;1;1992;0;27
201900013772;1;5;BOULEVARD DE LA CHAPELLE;16;10;2019;75;48.883671;2.350383;15:15;2;3;1;1949;0;70
201900014908;1;1;BOULEVARD DE LA VILLETTE;30;12;2019;75;48.872677;2.37641;17:30;1;4;1;1992;0;27
201900014908;1;1;BOULEVARD DE LA VILLETTE;30;12;2019;75;48.872677;2.37641;17:30;1;4;1;1994;5;25
201900014909;1;5;RUE DE LA PORTE D ISSY;30;12;2019;75;48.8326491;2.2814197;09:10;1;4;1;1966;1;53
201900014909;1;5;RUE DE LA PORTE D ISSY;30;12;2019;75;48.8326491;2.2814197;09:10;1;1;1;1995;1;24
201900014911;1;5;RUE BASFROI;30;12;2019;75;48.855703;2.378706;18:35;1;4;2;1989;0;30
